word	x	y	z
r e s e a r c h	-7.4263654	108.126976	263.07663
p h y s i c a l	3.2855153	27.281319	-187.56497
r a i n f a l l	-123.07668	327.07153	188.45811
c a	-251.63448	-96.64477	-90.757355
p r i n c i p a l	-130.90892	284.25296	-92.62076
d e p t h	-27.17087	-11.280065	117.308205
t u r b i d i t y	55.451336	-225.11824	-132.42883
w a t e r	123.982376	-72.06607	-140.90332
p o i n t	-329.37286	-54.271206	-434.90765
f l o w	-217.03645	78.675575	-55.603333
q u a l i t y	134.77026	179.91084	-45.28421
r e l a t i v e	21.143467	-121.411674	-0.04954059
s a l i n i t y	-31.545479	297.3924	-213.50679
t y p e	-23.308393	-169.70374	159.95554
b i o l o g i c a l	-183.96223	-104.85643	54.065197
r i v e r	-164.3422	-13.555018	185.8325
n a t u r a l	497.39496	1057.6654	-1218.2777
s a m p l e d	-37.71819	156.74626	-155.84705
a g e n t	128.34674	112.68474	-205.36798
s u r f a c e	-1428.1589	-1685.1542	2989.9543
a m o u n t	-567.4259	-119.15003	142.01413
p o t e n t i a l	-104.78627	-195.77228	-107.618164
p r o c e d u r e	-100.5847	-127.38821	-276.6016
m e a s u r e m e n t	-199.03261	178.33191	48.426125
c o n c e n t r a t i o n	71.37897	21.696447	-32.82218
l o c a t e d	152.64287	-108.25039	79.36569
r a t e	150.02034	-911.3509	-5.923271
c o n d u c t i v i t y	111.78692	31.208538	115.85405
v o l u m e	498.2594	130.44814	-136.12796
s i l v e r	59.328278	-99.17429	-267.84085
p h	-61.134563	83.394005	4.127604
c h e m i c a l	-155.94467	-0.1074351	-197.45338
t r u e	-86.93128	-41.11849	-64.29053
s a m p l i n g	-62.71181	-262.54065	42.365856
t o t a l	195.59036	185.80568	124.21803
a c t i v i t y	229.9991	33.21397	-75.051
t e m p e r a t u r e	58.670425	147.50204	58.133873
a m b i e n t	10.1202	462.69193	220.52895
g e o g r a p h i c	75.82158	-480.9544	298.01163
t i m e	145.78572	44.512714	260.41315
m a t e r i a l	-87.3434	147.20267	149.4107
l a k e	-15.435948	-51.115402	272.24884
m e t h o d	144.73105	-179.00482	207.78305
u n i t	-154.80138	480.962	-12.118572
r e s e r v o i r	274.9201	-1.9358889	87.69288
p r e p a r a t i o n	110.218605	-270.62653	14.733371
l e a d	-32.80123	235.60417	2.8988473
s a m p l e	227.21863	-152.82748	-54.320923
